rp_hMpc, rpDS_1e6Msunpc , rpDS_upper_1e6Msunpc      
0.12924465962305567 ,  2.8875969,  2.9844961
0.20483898119853466 ,  2.9457364,  3.0426357
0.32464790685222766 ,  3.1976744,  3.3139535
0.5145322575168453 ,   3.5077519,  3.6627907
0.8154786722400966 ,   4.0310078,  4.1472868
1.292446596230557 ,    4.2441860,  4.3992248
2.0483898119853476 ,   4.4186047,  4.6124031
3.246479068522277 ,    4.1666667,  4.3798450
5.1453225751684535 ,   4.4767442,  4.7093023
8.154786722400967 ,    5.6976744,  6.1240310
12.924465962305572 ,   6.2596899, 6.8604651
20.48389811985348 ,    6.2984496, 7.2868217
32.46479068522278 ,    9.9418605, 11.3372093

