rp_hMpc,rpwp_h2Mpc2 ,rpwp_upper_h2Mpc2      
0.8850129, 160.2941176   ,  163.6029412
1.0629803, 162.5000000   ,  165.8088235
1.2612343, 162.5000000   ,  166.3602941
1.4964641, 170.2205882   ,  175.1838235
1.7540091, 177.9411765   ,  181.2500000
2.1067230, 181.2500000   ,  186.2132353
2.4996430, 197.7941176   ,  202.2058824
2.9298373, 205.5147059   ,  211.0294118
3.5189986, 212.1323529   ,  215.9926471
4.1753189, 218.7500000   ,  225.3676471
4.9540480, 229.7794118   ,  234.1911765
5.8780161, 243.0147059   ,  247.9779412
6.8059891, 246.3235294   ,  252.9411765
8.1746063, 247.4264706   ,  255.1470588
9.6992332, 249.6323529   ,  256.8014706
11.4381408, 252.9411765  ,   261.7647059
13.5714420, 246.3235294  ,   254.5955882
16.0045708, 236.3970588  ,   244.6691176
18.9895463, 229.7794118  ,   239.7058824
22.5312427, 212.1323529  ,   225.9191176
26.7334927, 192.2794118  ,   204.9632353
31.9138192, 161.3970588  ,   175.1838235
37.6354243, 139.8897059  ,   156.4338235
44.6547204, 128.8602941  ,   146.5073529
52.9831691, 109.5588235  ,   126.6544118
62.4821504, 92.4632353   ,   109.5588235
74.5897317, 86.3970588   ,   107.3529412
